"id","code","in_country","out_country","district_id"
"11163",50104,"Quang Trung","Quang Trung","280"
"11164",50105,"Trần Phú","Tran Phu","280"
"11165",50102,"Ngọc Hà","Ngoc Ha","280"
"11166",50103,"Nguyễn Trãi","Nguyen Trai","280"
"11167",50101,"Minh Khai","Minh Khai","280"
"11168",50106,"Ngọc Đường","Ngoc Duong","280"
"11169",50107,"Phương Độ","Phuong Do","280"
"11170",50108,"Phương Thiện","Phuong Thien","280"
"11171",50202,"Phó Bảng","Pho Bang","283"
"11172",50204,"Lũng Cú","Lung Cu","283"
"11173",50208,"Má Lé","Ma Le","283"
"11174",50201,"Đồng Văn","Dong Van","283"
"11175",50206,"Lũng Táo","Lung Tao","283"
"11176",50210,"Phố Là","Pho La","283"
"11177",50217,"Thài Phìn Tủng","Thai Phin Tung","283"
"11178",50213,"Sủng Là","Sung La","283"
"11179",50219,"Xà Phìn","Xa Phin","283"
"11180",50216,"Tả Phìn","Ta Phin","283"
"11181",50215,"Tả Lủng","Ta Lung","283"
"11182",50209,"Phố Cáo","Pho Cao","283"
"11183",50212,"Sính Lủng","Sinh Lung","283"
"11184",50211,"Sảng Tủng","Sang Tung","283"
"11185",50207,"Lũng Thầu","Lung Thau","283"
"11186",50203,"Hố Quáng Phìn","Ho Quang Phin","283"
"11187",50218,"Vần Chải","Van Chai","283"
"11188",50205,"Lũng Phìn","Lung Phin","283"
"11189",50214,"Sủng Trái","Sung Trai","283"
"11190",50301,"Mèo Vạc","Meo Vac","285"
"11191",50317,"Thượng Phùng","Thuong Phung","285"
"11192",50311,"Pải Lủng","Pai Lung","285"
"11193",50318,"Xín Cái","Xin Cai","285"
"11194",50310,"Pả Vi","Pa Vi","285"
"11195",50303,"Giàng Chu Phìn","Giang Chu Phin","285"
"11196",50314,"Sủng Trà","Sung Tra","285"
"11197",50313,"Sủng Máng","Sung Mang","285"
"11198",50312,"Sơn Vĩ","Son Vi","285"
"11199",50315,"Tả Lủng","Ta Lung","285"
"11200",50302,"Cán Chu Phìn","Can Chu Phin","285"
"11201",50306,"Lũng Pù","Lung Pu","285"
"11202",50305,"Lũng Chinh","Lung Chinh","285"
"11203",50316,"Tát Ngà","Tat Nga","285"
"11204",50307,"Nậm Ban","Nam Ban","285"
"11205",50304,"Khâu Vai","Khau Vai","285"
"11206",50309,"Niêm Tòng","Niem Tong","285"
"11207",50308,"Niêm Sơn","Niem Son","285"
"11208",50401,"Yên Minh","Yen Minh","289"
"11209",50418,"Thắng Mố","Thang Mo","289"
"11210",50415,"Phú Lũng","Phu Lung","289"
"11211",50417,"Sủng Tráng","Sung Trang","289"
"11212",50402,"Bạch Đích","Bach Dich","289"
"11213",50412,"Na Khê","Na Khe","289"
"11214",50416,"Sủng Thài","Sung Thai","289"
"11215",50407,"Hữu Vinh","Huu Vinh","289"
"11216",50408,"Lao Và Chải","Lao Va Chai","289"
"11217",50410,"Mậu Duệ","Mau Due","289"
"11218",50403,"Đông Minh","Dong Minh","289"
"11219",50411,"Mậu Long","Mau Long","289"
"11220",50413,"Ngam La","Ngam La","289"
"11221",50414,"Ngọc Long","Ngoc Long","289"
"11222",50406,"Đường Thượng","Duong Thuong","289"
"11223",50409,"Lũng Hồ","Lung Ho","289"
"11224",50405,"Du Tiến","Du Tien","289"
"11225",50404,"Du Già","Du Gia","289"
"11226",50501,"Tam Sơn","Tam Son","286"
"11227",50502,"Bát Đại Sơn","Bat Dai Son","286"
"11228",50507,"Nghĩa Thuận","Nghia Thuan","286"
"11229",50503,"Cán Tỷ","Can Ty","286"
"11230",50504,"Cao Mã Pờ","Cao Ma Po","286"
"11231",50512,"Thanh Vân","Thanh Van","286"
"11232",50513,"Tùng Vài","Tung Vai","286"
"11233",50505,"Đông Hà","Dong Ha","286"
"11234",50508,"Quản Bạ","Quan Ba","286"
"11235",50506,"Lùng Tám","Lung Tam","286"
"11236",50509,"Quyết Tiến","Quyet Tien","286"
"11237",50510,"Tả Ván","Ta Van","286"
"11238",50511,"Thái An","Thai An","286"
"11239",50607,"Kim Thạch","Kim Thach","282"
"11240",50614,"Phú Linh","Phu Linh","282"
"11241",50606,"Kim Linh","Kim Linh","282"
"11242",50602,"Vị Xuyên","Vi Xuyen","282"
"11243",50601,"Nông Trường Việt Lâm","Nong Truong Viet Lam","282"
"11244",50610,"Minh Tân","Minh Tan","282"
"11245",50619,"Thuận Hoà","Thuan Hoa","282"
"11246",50622,"Tùng Bá","Tung Ba","282"
"11247",50618,"Thanh Thủy","Thanh Thuy","282"
"11248",50617,"Thanh Đức","Thanh Duc","282"
"11249",50613,"Phong Quang","Phong Quang","282"
"11250",50624,"Xín Chải","Xin Chai","282"
"11251",50615,"Phương Tiến","Phuong Tien","282"
"11252",50608,"Lao Chải","Lao Chai","282"
"11253",50604,"Cao Bồ","Cao Bo","282"
"11254",50605,"Đạo Đức","Dao Duc","282"
"11255",50620,"Thượng Sơn","Thuong Son","282"
"11256",50609,"Linh Hồ","Linh Ho","282"
"11257",50616,"Quảng Ngần","Quang Ngan","282"
"11258",50623,"Việt Lâm","Viet Lam","282"
"11259",50611,"Ngọc Linh","Ngoc Linh","282"
"11260",50612,"Ngọc Minh","Ngoc Minh","282"
"11261",50603,"Bạch Ngọc","Bach Ngoc","282"
"11262",50621,"Trung Thành","Trung Thanh","282"
"11263",220201,"Lương Bằng","Luong Bang","709"
"11264",220208,"Nghĩa Dân","Nghia Dan","709"
"11265",220215,"Toàn Thắng","Toan Thang","709"
"11266",220216,"Vĩnh Xá","Vinh Xa","709"
"11267",220211,"Phạm Ngũ Lão","Pham Ngu Lao","709"
"11268",220214,"Thọ Vinh","Tho Vinh","709"
"11269",220203,"Đồng Thanh","Dong Thanh","709"
"11270",220213,"Song Mai","Song Mai","709"
"11271",220202,"Chính Nghĩa","Chinh Nghia","709"
"11272",220210,"Nhân La","Nhan La","709"
"11273",220212,"Phú Thịnh","Phu Thinh","709"
"11274",220207,"Mai Động","Mai Dong","709"
"11275",220204,"Đức Hợp","Duc Hop","709"
"11276",220206,"Hùng An","Hung An","709"
"11277",220209,"Ngọc Thanh","Ngoc Thanh","709"
"11278",220217,"Vũ Xá","Vu Xa","709"
"11279",220205,"Hiệp Cường","Hiep Cuong","709"
