"id","code","in_country","out_country","district_id"
11280,90601,"Tân Bình","Tan Binh","672"
11281,90620,"Quí Quân","Qui Quan","672"
11282,90613,"Lực Hành","Luc Hanh","672"
11283,90609,"Kiến Thiết","Kien Thiet","672"
11284,90626,"Trung Minh","Trung Minh","672"
11285,90603,"Chiêu Yên","Chieu Yen","672"
11286,90629,"Trung Trực","Trung Truc","672"
11287,90631,"Xuân Vân","Xuan Van","672"
11288,90619,"Phúc Ninh","Phuc Ninh","672"
11289,90608,"Hùng Lợi","Hung Loi","672"
11290,90628,"Trung Sơn","Trung Son","672"
11291,90622,"Tân Tiến","Tan Tien","672"
11292,90630,"Tứ Quận","Tu Quan","672"
11293,90605,"Đạo Viện","Dao Vien","672"
11294,90621,"Tân Long","Tan Long","672"
11295,90624,"Thắng Quân","Thang Quan","672"
11296,90611,"Kim Quan","Kim Quan","672"
11297,90612,"Lang Quán","Lang Quan","672"
11298,90618,"Phú Thịnh","Phu Thinh","672"
11299,90604,"Công Đa","Cong Da","672"
11300,90627,"Trung Môn","Trung Mon","672"
11301,90602,"Chân Sơn","Chan Son","672"
11302,90623,"Thái Bình","Thai Binh","672"
11303,90610,"Kim Phú","Kim Phu","672"
11304,90625,"Tiến Bộ","Tien Bo","672"
11305,90614,"Mỹ Bằng","My Bang","672"
11306,90617,"Phú Lâm","Phu Lam","672"
11307,90607,"Hoàng Khai","Hoang Khai","672"
11308,90615,"Nhữ Hán","Nhu Han","672"
11309,90616,"Nhữ Khê","Nhu Khe","672"
11310,90606,"Đội Bình","Doi Binh","672"
