"id","code","in_country","out_country","zone","city_id"
"1","0201","Quận 1","District 1","Nội thành","63"
"2","0202","Quận 2","District 2","Nội thành","63"
"3","0203","Quận 3","District 3","Nội thành","63"
"4","0204","Quận 4","District 4","Nội thành","63"
"5","0205","Quận 5","District 5","Nội thành","63"
"6","0206","Quận 6","District 6","Nội thành","63"
"7","0207","Quận 7","District 7","Nội thành","63"
"8","0208","Quận 8","District 8","Nội thành","63"
"9","0209","Quận 9","District 9","Ngoại thành 1","63"
"10","0210","Quận 10","District 10","Nội thành","63"
"11","0211","Quận 11","District 11","Nội thành","63"
"12","0212","Quận 12","District 12","Ngoại thành 1","63"
"13","0213","Quận Tân Bình","Tan Binh District","Nội thành","63"
"14","0214","Quận Tân Phú","Tan Phu District","Nội thành","63"
"15","0215","Quận Phú Nhuận","Phu Nhuan District","Nội thành","63"
"16","0216","Quận Bình Tân","Binh Tan District","Ngoại thành 1","63"
"17","0217","Huyện Hóc Môn","Hoc Mon District","Ngoại thành 2","63"
"18","0218","Huyện Củ Chi","Cu Chi District","Ngoại thành 2","63"
"19","0219","Quận Gò Vấp","Go Vap District","Nội thành","63"
"20","0220","Quận Bình Thạnh","Binh Thanh District","Nội thành","63"
"21","0221","Quận Thủ Đức","Thu Duc District","Ngoại thành 1","63"
"22","0222","Huyện Bình Chánh","Binh Chanh District","Ngoại thành 2","63"
"23","0223","Huyện Nhà Bè","Nha Be District","Ngoại thành 2","63"
"24","1B15","Quận Hà Đông","Ha Dong District","Ngoại thành 1","61"
"25","0110","Quận Bắc Từ Liêm","North Tu Liem District","Ngoại thành 1","61"
"26","1A01","Quận Ba Đình","Ba Dinh District","Nội thành","61"
"27","1A06","Quận Cầu Giấy","Cau Giay District","Nội thành","61"
"28","1A04","Quận Đống Đa","Dong Da District","Nội thành","61"
"29","1A03","Quận Hai Bà Trưng","Hai Ba Trung District","Nội thành","61"
"30","1A02","Quận Hoàn Kiếm","Hoan Kiem District","Nội thành","61"
"31","1A08","Quận Hoàng Mai","Hoang Mai District","Nội thành","61"
"32","1A09","Quận Long Biên","Long Bien District","Ngoại thành 1","61"
"33","1A05","Quận Tây Hồ","West Lake District","Nội thành","61"
"34","1A07","Quận Thanh Xuân","Thanh Xuan District","Nội thành","61"
"35","1B29","Huyện Mê Linh","Me Linh District","Ngoại thành 2","61"
"36","1A13","Huyện Đông Anh","Dong Anh District","Ngoại thành 2","61"
"37","1A14","Huyện Sóc Sơn","Soc Son District","Ngoại thành 2","61"
"38","1A12","Huyện Gia Lâm","Gia Lam District","Ngoại thành 2","61"
"39","1A11","Huyện Thanh Trì","Thanh Tri District","Ngoại thành 2","61"
"40","1B16","Thị xã Sơn Tây","Son Tay Town","Ngoại thành 2","61"
"41","0130","Quận Nam Từ Liêm","Nam Tu Liem District","Ngoại thành 1","61"
"42","1B28","Huyện Phú Xuyên","Phu Xuyen District","Ngoại thành 2","61"
"43","1A00","Quận Đặc Biệt","Special District","Nội thành","61"
"44","1B17","Huyện Ba Vì","Ba Vi District","Ngoại thành 2","61"
"45","1B22","Huyện Đan Phượng","Dan Phuong District","Ngoại thành 2","61"
"46","1B23","Huyện Hoài Đức","Hoai Duc District","Ngoại thành 2","61"
"47","1B25","Huyện Mỹ Đức","My Duc District","Ngoại thành 2","61"
"48","1B18","Huyện Phúc Thọ","Phuc Tho District","Ngoại thành 2","61"
"49","1B19","Huyện Thạch Thất","Thach That District","Ngoại thành 2","61"
"50","1B24","Huyện Thanh Oai","Thanh Oai District","Ngoại thành 2","61"
"51","1B26","Huyện Ứng Hòa","Ung Hoa District","Ngoại thành 2","61"
"52","1B21","Huyện Chương Mỹ","Chuong My District","Ngoại thành 2","61"
"53","1B20","Huyện Quốc Oai","Quoc Oai District","Ngoại thành 2","61"
"54","1B27","Huyện Thường Tín","Thuong Tin District","Ngoại thành 2","61"
"55","VT1359","Quận Vật Tư","Vat Tu District","Nội thành","61"
"56","0401","Quận Hải Châu","Hai Chau District","Nội thành","60"
"57","0402","Quận Thanh Khê","Thanh Khe District","Nội thành","60"
"58","0403","Quận Sơn Trà","Son Tra District","Nội thành","60"
"59","0404","Quận Ngũ Hành Sơn","Ngu Hanh Son District","Nội thành","60"
"60","0405","Quận Liên Chiểu","Lien Chieu District","Nội thành","60"
"61","0407","Quận Cẩm Lệ","Cam Le District","Nội thành","60"
"62","0406","Huyện Hòa Vang","Hoa Vang District","Ngoại thành 2","60"
"63","5501","Quận Ninh Kiều","Ninh Kieu District","Nội thành","59"
"64","5502","Quận Bình Thủy","Binh Thuy District","Nội thành","59"
"65","5503","Quận Cái Răng","Cai Rang District","Nội thành","59"
"66","5504","Quận Ô Môn","O Mon District","Ngoại thành 1","59"
"67","5508","Quận Thốt Nốt","Thot Not District","Ngoại thành 1","59"
"68","5507","Huyện Vĩnh Thạnh","Vinh Thanh District","Ngoại thành 2","59"
"69","5509","Huyện Thới Lai","Thoi Lai District","Ngoại thành 2","59"
"70","5505","Huyện Phong Điền","Phong Dien District","Ngoại thành 1","59"
"71","5506","Huyện Cờ Đỏ","Co Do District","Ngoại thành 2","59"
"72","0303","Quận Ngô Quyền","Ngo Quyen District","Nội thành","62"
"73","0302","Quận Lê Chân","Le Chan District","Nội thành","62"
"74","0304","Quận Kiến An","Kien An District","Ngoại thành 1","62"
"75","0305","Quận Hải An","Hai An District","Nội thành","62"
"76","0301","Quận Hồng Bàng","Hong Bang District","Nội thành","62"
"77","0306","Quận Đồ Sơn","Do Son District","Ngoại thành 2","62"
"78","0309","Huyện Thủy Nguyên","Thuy Nguyen District","Ngoại thành 1","62"
"79","0315","Quận Dương Kinh","Dương Kinh District","Ngoại thành 1","62"
"80","0310","Huyện An Dương","An Duong District","Ngoại thành 1","62"
"81","0307","Huyện An Lão","An Lao District","Ngoại thành 2","62"
"82","0311","Huyện Tiên Lãng","Tien Lang District","Ngoại thành 2","62"
"83","0312","Huyện Vĩnh Bảo","Vinh Bao District","Ngoại thành 2","62"
"84","0308","Huyện Kiến Thụy","Kien Thuy District","Ngoại thành 1","62"
