"id","code","in_country","out_country","zone","city_id"
"85","5101","Thành phố Long Xuyên","Long Xuyen City","Nội thành",34
"86","5111","Huyện Thoại Sơn","Thoai Son District","Ngoại thành 2",34
"87","5110","Huyện Châu Thành","Chau Thanh District","Ngoại thành 1",34
"88","5107","Huyện Tri Tôn","Tri Ton District","Ngoại thành 2",34
"89","5106","Huyện Tịnh Biên","Tinh Bien District","Ngoại thành 2",34
"90","5102","Thành phố Châu Đốc","Chau Doc City","Ngoại thành 2",34
"91","5103","Huyện An Phú","An Phu District","Ngoại thành 2",34
"92","5104","Huyện Tân Châu","Tan Chau District","Ngoại thành 2",34
"93","5105","Huyện Phú Tân","Phu Tan District","Ngoại thành 2",34
"94","5109","Huyện Chợ Mới","Cho Moi District","Ngoại thành 2",34
"95","5108","Huyện Châu Phú","Chau Phu District","Ngoại thành 2",34
"96","5201","Thành phố Vũng Tàu","Vung Tau City","Nội thành",33
"97","5206","Huyện Tân Thành","Tan Thanh District","Ngoại thành 1",33
"98","5207","Huyện Châu Đức","Chau Duc District","Ngoại thành 1",33
"99","5208","Huyện Đất Đỏ","Dat Do District","Ngoại thành 1",33
"100","5202","Thành phố Bà Rịa","Ba Ria City","Nội thành",33
"101","5203","Huyện Xuyên Mộc","Xuyen Moc District","Ngoại thành 2",33
"102","5204","Huyện Long Điền","Long Dien District","Ngoại thành 1",33
"103","5205","Huyện đảo Côn Đảo","dao Con Dao District","Ngoại thành 2",33
"104","1801","Thành phố Bắc Giang","Bac Giang City","Nội thành",43
"105","1807","Huyện Hiệp Hòa","Hiep Hoa District","Ngoại thành 2",43
"106","1808","Huyện Lạng Giang","Lang Giang District","Ngoại thành 2",43
"107","1804","Huyện Sơn Động","Son Dong District","Ngoại thành 2",43
"108","1806","Huyện Tân Yên","Tan Yen District","Ngoại thành 2",43
"109","1809","Huyện Việt Yên","Viet Yen District","Ngoại thành 1",43
"110","1810","Huyện Yên Dũng","Yen Dung District","Ngoại thành 1",43
"111","1802","Huyện Yên Thế","Yen The District","Ngoại thành 2",43
"112","1805","Huyện Lục Nam","Luc Nam District","Ngoại thành 1",43
"113","1803","Huyện Lục Ngạn","Luc Ngan District","Ngoại thành 2",43
"114","1101","Thành phố Bắc Kạn","Bac Kan City","Nội thành",42
"115","1106","Huyện Ba Bể","Ba Be District","Ngoại thành 2",42
"116","1103","Huyện Bạch Thông","Bach Thong District","Ngoại thành 2",42
"117","1108","Huyện Pác Nặm","Pac Nam District","Ngoại thành 2",42
"118","1104","Huyện Na Rì","Na Ri District","Ngoại thành 2",42
"119","1102","Huyện Chợ Đồn","Cho Don District","Ngoại thành 2",42
"120","1107","Huyện Chợ Mới","Cho Moi District","Ngoại thành 2",42
"121","1105","Huyện Ngân Sơn","Ngan Son District","Ngoại thành 2",42
"122","6007","Huyện Hòa Bình","Hoa Binh District","Ngoại thành 1",44
"123","6001","Thành phố Bạc Liêu","Bac Lieu City","Nội thành",44
"124","6006","Huyện Đông Hải","Dong Hai District","Ngoại thành 2",44
"125","6004","Huyện Giá Rai","Gia Rai District","Ngoại thành 2",44
"126","6003","Huyện Hồng Dân","Hong Dan District","Ngoại thành 2",44
"127","6005","Huyện Phước Long","Phuoc Long District","Ngoại thành 2",44
"128","6002","Huyện Vĩnh Lợi","Vinh Loi District","Ngoại thành 1",44
"129","1901","Thành phố Bắc Ninh","Bac Ninh City","Nội thành",45
"130","1903","Huyện Quế Võ","Que Vo District","Ngoại thành 1",45
"131","1904","Huyện Tiên Du","Tien Du District","Ngoại thành 1",45
"132","1905","Thị xã Từ Sơn","Tu Son Ward","Ngoại thành 1",45
"133","1907","Huyện Gia Bình","Gia Binh District","Ngoại thành 2",45
"134","1906","Huyện Thuận Thành","Thuan Thanh District","Ngoại thành 1",45
"135","1902","Huyện Yên Phong","Yen Phong District","Ngoại thành 1",45
"136","1908","Huyện Lương Tài","Luong Tai District","Ngoại thành 2",45
"137","5601","Thành phố Bến Tre","Ben Tre City","Nội thành",39
"138","5602","Huyện Châu Thành","Chau Thanh District","Ngoại thành 1",39
"139","5607","Huyện Ba Tri","Ba Tri District","Ngoại thành 2",39
"140","5606","Huyện Bình Đại","Binh Dai District","Ngoại thành 2",39
"141","5603","Huyện Chợ Lách","Cho Lach District","Ngoại thành 2",39
"142","5605","Huyện Giồng Trôm","Giong Trom District","Ngoại thành 1",39
"143","5604","Huyện Mỏ Cày Bắc","Mo Cay Bac District","Ngoại thành 1",39
"144","5609","Huyện Mỏ Cày Nam","Mo Cay Nam District","Ngoại thành 1",39
"145","5608","Huyện Thạnh Phú","Thanh Phu District","Ngoại thành 2",39
"146","3702","Huyện An Lão","An Lao District","Ngoại thành 2",23
"147","3709","Huyện Vân Canh","Van Canh District","Ngoại thành 2",23
"148","3708","Huyện Tây Sơn","Tay Son District","Ngoại thành 2",23
"149","3703","Huyện Hoài Ân","Hoai An District","Ngoại thành 2",23
"150","3705","Huyện Phù Mỹ","Phu My District","Ngoại thành 2",23
"151","3707","Huyện Vĩnh Thạnh","Vinh Thanh District","Ngoại thành 2",23
"152","3701","Thành phố Quy Nhơn","Quy Nhon City","Nội thành",23
"153","3710","Thị xã An Nhơn","An Nhon Ward","Ngoại thành 2",23
"154","3706","Huyện Phù Cát","Phu Cat District","Ngoại thành 2",23
"155","3704","Huyện Hoài Nhơn","Hoai Nhon District","Ngoại thành 2",23
"156","3711","Huyện Tuy Phước","Tuy Phuoc District","Ngoại thành 1",23
"157","4401","Thành phố Thủ Dầu Một","Thu Dau Mot City","Nội thành",46
"158","4405","Thị xã Dĩ An","Di An Ward","Nội thành",46
"159","4404","Thị xã Thuận An","Thuan An Ward","Ngoại thành 1",46
"160","4403","Thị xã Tân Uyên","Tan Uyen Ward","Ngoại thành 1",46
