"id","code","in_country","out_country","district_id"
"1","510101","Phường Mỹ Bình",,"85"
"2","510102","Phường Mỹ Long",,"85"
"3","510103","Phường Đông Xuyên",,"85"
"4","510104","Phường Mỹ Xuyên",,"85"
"5","510105","Phường Bình Đức",,"85"
"6","510106","Phường Bình Khánh",,"85"
"7","510107","Phường Mỹ Phước",,"85"
"8","510108","Phường Mỹ Quý",,"85"
"9","510109","Phường Mỹ Thới",,"85"
"10","510110","Phường Mỹ Thạnh",,"85"
"11","510111","Phường Mỹ Hòa",,"85"
"12","510112","Xã Mỹ Khánh",,"85"
"13","510113","Xã Mỹ Hoà Hưng",,"85"
"14","510201","Phường Châu Phú B",,"90"
"15","510202","Phường Châu Phú A",,"90"
"16","510203","Phường Vĩnh Mỹ",,"90"
"17","510204","Phường Núi Sam",,"90"
"18","510205","Phường Vĩnh Ngươn",,"90"
"19","510206","Xã Vĩnh Tế",,"90"
"20","510207","Xã Vĩnh Châu",,"90"
"21","510301","Thị trấn An Phú",,"91"
"22","510302","Xã Khánh An",,"91"
"23","510303","Thị Trấn Long Bình",,"91"
"24","510304","Xã Khánh Bình",,"91"
"25","510305","Xã Quốc Thái",,"91"
"26","510306","Xã Nhơn Hội",,"91"
"27","510307","Xã Phú Hữu",,"91"
"28","510308","Xã Phú Hội",,"91"
"29","510309","Xã Phước Hưng",,"91"
"30","510310","Xã Vĩnh Lộc",,"91"
"31","510311","Xã Vĩnh Hậu",,"91"
"32","510312","Xã Vĩnh Trường",,"91"
"33","510313","Xã Vĩnh Hội Đông",,"91"
"34","510314","Xã Đa Phước",,"91"
"35","510401","Phường Long Thạnh",,"92"
"36","510402","Phường Long Hưng",,"92"
"37","510403","Phường Long Châu",,"92"
"38","510404","Xã Phú Lộc",,"92"
"39","510405","Xã Vĩnh Xương",,"92"
"40","510406","Xã Vĩnh Hòa",,"92"
"41","510407","Xã Tân Thạnh",,"92"
"42","510408","Xã Tân An",,"92"
"43","510409","Xã Long An",,"92"
"44","510410","Phường Long Phú",,"92"
"45","510411","Xã Châu Phong",,"92"
"46","510412","Xã Phú Vĩnh",,"92"
"47","510413","Xã Lê Chánh",,"92"
"48","510414","Phường Long Sơn",,"92"
"49","510501","Thị trấn Phú Mỹ",,"93"
"50","510502","Thị trấn Chợ Vàm",,"93"
"51","510503","Xã Long Hoà",,"93"
"52","510504","Xã Phú Long",,"93"
"53","510505","Xã Phú Lâm",,"93"
"54","510506","Xã Phú Hiệp",,"93"
"55","510507","Xã Phú Thạnh",,"93"
"56","510508","Xã Hoà Lạc",,"93"
"57","510509","Xã Phú Thành",,"93"
"58","510510","Xã Phú An",,"93"
"59","510511","Xã Phú Xuân",,"93"
