id,code,in_country,out_country,district_id
11311,90768,Phường An Khánh,An Khanh,150076
11312,90767,Phường Bình Trưng Tây,Binh Trung Tay,150076
11313,90766,Phường Bình Trưng Đông,Binh Trung Dong,150076
11314,90765,Phường An Phú,An Phu,150076
11315,90764,Phường Thảo Điền,Thao Dien,150076
11316,90763,Phường Phú Hữu,Phu Huu,150076
11317,90762,Phường Phước Bình,Phuoc Binh,150076
11318,90761,Phường Long Trường,Long Truong,150076
11319,90760,Phường Long Phước,Long Phuoc,150076
11320,90759,Phường Trường Thạnh,Truong Thanh,150076
11321,90758,Phường Phước Long B,Phuoc Long B,150076
11322,90757,Phường Phước Long A,Phuoc Long A,150076
11323,90756,Phường Tăng Nhơn Phú B,Tang Nhon Phu B,150076
11324,90755,Phường Tăng Nhơn Phú A,Tang Nhon Phu A,150076
11325,90754,Phường Hiệp Phú,Hiep Phu,150076
11326,90753,Phường Tân Phú,Tan Phu,150076
11327,90752,Phường Long Thạnh Mỹ,Long Thanh My,150076
11328,90751,Phường Long Bình,Long Binh,150076
11329,90750,Phường Thủ Thiêm,Thu Thiem,150076
11330,90749,Phường An Lợi Đông,An Loi Dong,150076
11331,90748,Phường Thạnh Mỹ Lợi,Thanh My Loi,150076
11332,90747,Phường Cát Lái,Cat Lai,150076
11333,90746,Phường Trường Thọ,Truong Tho,150076
11334,90745,Phường Bình Thọ,Binh Tho,150076
11335,90744,Phường Linh Đông,Linh Dong,150076
11336,90743,Phường Linh Tây,Linh Tay,150076
11337,90742,Phường Linh Chiểu,Linh Chieu,150076
11338,90741,Phường Hiệp Bình Chánh,Hiep Binh Chanh,150076
11339,90740,Phường Hiệp Bình Phước,Hiep Binh Phuoc,150076
11340,90739,Phường Tam Phú,Tam Phu,150076
11341,90738,Phường Tam Bình,Tam Binh,150076
11342,90737,Phường Linh Trung,Linh Trung,150076
11343,90736,Phường Bình Chiểu,Binh Chieu,150076
11344,90735,Phường Linh Xuân,Linh Xuan,150076
11345,800156,Phường Hưng Trí,Hung Tri,308
11346,301313,Xã Kỳ Anh,Ky Anh,308
11347,800026,Xã Thọ Điền,Tho Dien,298
11348,800025,Xã Quang Thọ,Quang Tho,298
11349,800082,Xã Điềm He,Diem He,404
11350,800081,Xã Liên Hội,Lien Hoi,404
11351,800080,Xã An Sơn,An Son,404
11352,800079,Xã Bắc Việt,Bac Viet,405
11353,800078,Xã Bắc Hùng,Bac Hung,405
11354,800083,Thị Trấn Ninh Cường,Ninh Cuong,444
11355,800299,Xã Trà Tây,Tra Tay,541
11356,800297,Xã Hương Trà,Huong Tra,541
11357,800296,Xã Trà Phong,Tra Phong,541
11358,800295,Xã Sơn Trà,Son Tra,541
11359,800294,Xã Trà Thanh,Tra Thanh,541
11360,800151,Thị Trấn Thiệu Hóa,Thieu Hoa,639
11361,800126,Xã Tân Châu,Tan Chau,639
11362,800125,Xã Minh Tâm,Minh Tam,639
11363,800066,Xã Hồng Phong,Hong Phong,318
11364,800065,Xã Thanh Quang,Thanh Quang,319
11365,800064,Xã An Phượng,An Phuong,319
11366,800093,Xã Đại Đồng,Dai Dong,463
11367,800104,Xã Quảng Yên,Quang Yen,491
11368,90779,Thị trấn Thạch Giám,TT Thạch Giám,461
11369,800068,Xã Đại Sơn,Dai Son,317
11370,800067,Xã Chí Minh,Chi Minh,317
11371,800109,Xã An Hòa Hải,An Hoa Hai,504
11372,90780,Thị trấn Tây Hòa,TT Tây Hòa,497
11373,800103,Xã Vạn Xuân,Van Xuan,492
11374,800102,Xã Lam Sơn,Lam Son,492
11375,800101,Xã Dân Quyền,Dan Quyen,492
