id;bank_name
1;Agribank - NH NN & PTNT Viet Nam
2;BIDV - NH Dau tu & Phat trien Viet Nam
3;VCB - NH TMCP Ngoai Thuong Viet Nam
4;Vietinbank - NH Cong Thuong Viet Nam
5;ABBank - NHTMCP An Binh
6;ACB - NH TMCP A Chau
7;Bac A bank - NHTMCP Bac A
8;BaoViet Bank - NH TMCP Bao Viet
9;Dong A Bank - NHTMCP Dong A
10;Eximbank - NHTMCP Xuat Nhap Khau
11;GPBank - NHTMCP Dau khi Toan cau
12;HD Bank - NHTMCP phat trien Tp HCM
13;Kien Long bank - NHTMCP Kien Long
14;Lien Viet Post Bank - NH TMCP Buu Dien Lien Viet
15;Maritime Bank - NHTMCP Hang Hai
16;MB - NHTMCP Quan Doi
17;Nam A Bank - NHTMCP Nam A
18;National Citizen Bank - NHTMCP Quoc Dan
19;OCB - NHTMCP Phuong Dong
20;Oceanbank - NHTMCP Dai Duong
21;PGBank - NHTMCP Xang dau Petrolimex
22;PVcomBank - NH TMCP Dai Chung Viet Nam
23;Sacombank - NHTMCP Sai gon Thuong Tin
24;SaigonBank - NHTMCP Sai Gon Cong Thuong
25;SCB - NHTMCP Sai Gon
26;Seabank - NHTMCP Dong Nam A
27;SHB - NHTMCP Sai gon - Ha Noi
28;Techcombank - NHTMCP Ky thuong VN
29;Tien Phong Bank - NH TMCP Tien Phong
30;VIB - NHTMCP Quoc Te
31;Viet Capital Bank - NHTMCP Ban Viet
32;Viet hoa JS bank - NHTMCP Viet Hoa
33;VietABank - NHTMCP Viet A
34;VietBank - NHTMCP Viet Nam Thuong Tin
35;VNCB - NHTMCP Xay dung VN
36;VP Bank - NHTMCP VN Thinh Vuong
38;ANZ Bank
51;Citibank (HCM)
52;Citibank (HN)
53;Commonwealth Bank of Australia
61;Hong Kong and Shanghai Bank (HSBC)
62;Hong Leong Bank Vietnam
65;Industrial Bank of Korea
67;Kookmin Bank (HCM)
69;May Bank (HCM)
70;May Bank (HN)
75;Shinhan Bank Vietnam
76;Standard Chartered Bank
77;Sumitomo Mitsui Banking Corporation
78;Taipei Fubon Bank
81;Woori Bank (HCM)
83;VBSP - NH Chinh sach xa hoi
84;VDB - NH Phat trien Viet Nam
85;IVB - NH TNHH Indovina
86;VID Public Bank
87;Vinasiam Bank - NH Lien doanh Viet Thai
88;VRB - NH Lien doanh Viet Nga
